SLRP_1	FamilyOrComplex
SLRP_2	FamilyOrComplex
SLRP_3	FamilyOrComplex
SLRP_4	FamilyOrComplex
SLRP_5	FamilyOrComplex
SMAD	FamilyOrComplex
SMAD1_5_9	FamilyOrComplex
SMAD2_3	FamilyOrComplex
SMC1	FamilyOrComplex
SMURF	FamilyOrComplex
SNAI	FamilyOrComplex
SOD	FamilyOrComplex
Sodium_channels	FamilyOrComplex
Sodium_voltage_gated_channel_alpha_subunits	FamilyOrComplex
Sodium_voltage_gated_channel_beta_subunits	FamilyOrComplex
SOS	FamilyOrComplex
SPHK	FamilyOrComplex
SPRED	FamilyOrComplex
SPRY	FamilyOrComplex
SRC	FamilyOrComplex
SREBF	FamilyOrComplex
STAT	FamilyOrComplex
STAT5	FamilyOrComplex
STT3	FamilyOrComplex
Sulfonylurea_receptor	FamilyOrComplex
SWI_SNF	FamilyOrComplex
TAC	FamilyOrComplex
TAOK	FamilyOrComplex
TAP	FamilyOrComplex
TAT_associated_kinase	FamilyOrComplex
TCF_LEF	FamilyOrComplex
TCR	FamilyOrComplex
TEAD	FamilyOrComplex
TFAP2	FamilyOrComplex
TFDP	FamilyOrComplex
TGFB	FamilyOrComplex
TGFBR	FamilyOrComplex
THBS	FamilyOrComplex
THR	FamilyOrComplex
Thrombin_antithrombin	FamilyOrComplex
TIAM	FamilyOrComplex
TIF_IB	FamilyOrComplex
TK	FamilyOrComplex
TLR	FamilyOrComplex
TN	FamilyOrComplex
TNF	FamilyOrComplex
TNFRSF	FamilyOrComplex
TOP	FamilyOrComplex
TOP2	FamilyOrComplex
TPCN	FamilyOrComplex
Troponin	FamilyOrComplex
Troponin_C	FamilyOrComplex
Troponin_I	FamilyOrComplex
Troponin_T	FamilyOrComplex
TRP	FamilyOrComplex
Tryptase	FamilyOrComplex
TSC	FamilyOrComplex
TUBA	FamilyOrComplex
TUBB	FamilyOrComplex
TUBG	FamilyOrComplex
Tubulin	FamilyOrComplex
TXN	FamilyOrComplex
TXNRD	FamilyOrComplex
UBE2	FamilyOrComplex
Ubiquitin	FamilyOrComplex
UGCG	FamilyOrComplex
UGGT	FamilyOrComplex
UGT	FamilyOrComplex
VAV	FamilyOrComplex
VDAC	FamilyOrComplex
VEGF	FamilyOrComplex
VEGFR	FamilyOrComplex
Voltage_gated_ion_channels	FamilyOrComplex
Wnt	FamilyOrComplex
Wnt5	FamilyOrComplex
YBX	FamilyOrComplex
ZACN	FamilyOrComplex
