GABRA1,4075
GABRA2,4076
GABRA3,4077
GABRA4,4078
GABRA5,4079
GABRA6,4080
GABRB1,4081
GABRB2,4082
GABRB3,4083
GABRD,4084
GABRE,4085
GABRG1,4086
GABRG2,4087
GABRG3,4088
GABRP,4089
GABRQ,14454
GABRR1,4090
GABRR2,4091
GABRR3,17969
GALNT1,4123
GALNT10,19873
GALNT11,19875
GALNT12,19877
GALNT13,23242
GALNT14,22946
GALNT15,21531
GALNT16,23233
GALNT17,16347
GALNT18,30488
GALNT2,4124
GALNT3,4125
GALNT4,4126
GALNT5,4127
GALNT6,4128
GALNT7,4129
GALNT8,4130
GALNT9,4131
GALNTL5,21725
GALNTL6,33844
GATA1,4170
GATA2,4171
GATA3,4172
GATA4,4173
GATA5,15802
GATA6,4174
GBGT1,20460
GCDH,4189
GCNT1,4203
GCNT2,4204
GCNT3,4205
GCNT4,17973
GCNT7,16099
GDF1,4214
GDF2,4217
GDF3,4218
GDF5,4220
GDF6,4221
GDF7,4222
GLT1D1,26483
GLT6D1,23671
GLT8D1,24870
GLT8D2,24890
GNA11,4379
GNA12,4380
GNA13,4381
GNA14,4382
GNA15,4383
GNAI1,4384
GNAI2,4385
GNAI3,4387
GNAL,4388
GNAO1,4389
GNAQ,4390
GNAS,4392
GNAT1,4393
GNAT2,4394
GNAT3,22800
GNAZ,4395
GNB1,4396
GNB2,4398
GNB3,4400
GNB4,20731
GNB5,4401
GNG10,4402
GNG11,4403
GNG12,19663
GNG13,14131
GNG2,4404
GNG3,4405
GNG4,4407
GNG5,4408
GNG7,4410
GNG8,19664
GNGT1,4411
GNGT2,4412
GP1BA,4439
GP1BB,4440
GP5,4443
GP9,4444
GPAA1,4446
GPX1,4553
GPX2,4554
GPX3,4555
GPX4,4556
GPX5,4557
GPX6,4558
GPX7,4559
GPX8,33100
GRIA1,4571
GRIA2,4572
GRIA3,4573
GRIA4,4574
GRIK1,4579
GRIK2,4580
GRIK3,4581
GRIK4,4582
GRIK5,4583
GRK1,10013
GRK2,289
GRK3,290
GRK4,4543
GRK5,4544
GRK6,4545
GRK7,17031
GRM1,4593
GRM2,4594
GRM3,4595
GRM4,4596
GRM5,4597
GRM6,4598
GRM7,4599
GRM8,4600
GSK3A,4616
GSK3B,4617
GSTA1,4626
GSTA2,4627
GSTA3,4628
GSTA4,4629
GSTA5,19662
GSTK1,16906
GSTM1,4632
GSTM2,4634
GSTM3,4635
GSTM4,4636
GSTM5,4637
GSTO1,13312
GSTO2,23064
GSTP1,4638
GSTT1,4641
GSTT2,4642
GSTT2B,33437
GSTZ1,4643
GTDC1,20887
GTF2E1,4650
GTF2E2,4651
GTF2F1,4652
GTF2F2,4653
GUCY2C,4688
GUCY2D,4689
GUCY2F,4691
GXYLT1,27482
GXYLT2,33383
GYG1,4699
GYG2,4700
GYS1,4706
GYS2,4707
H1F0,4714
H1FNT,24893
H1FOO,18463
H1FX,4722
H2AFB1,22516
H2AFJ,14456
H2AFV,20664
H2AFX,4739
H2AFY,4740
H2AFY2,14453
H2AFZ,4741
H2BFM,27867
H2BFS,4762
H2BFWT,27252
H3F3C,33164
HAS1,4818
HAS2,4819
HAS3,4820
HAUS1,25174
HAUS2,25530
HAUS3,28719
HAUS4,20163
HAUS5,29130
HAUS6,25948
HAUS7,32979
HAUS8,30532
HBA1,4823
HBA2,4824
HBB,4827
HBD,4829
HBE1,4830
HBEGF,3059
HBG1,4831
HBG2,4832
HBM,4826
HBQ1,4833
HBZ,4835
HDAC1,4852
HDAC10,18128
HDAC11,19086
HDAC2,4853
HDAC3,4854
HDAC4,14063
HDAC5,14068
HDAC6,14064
HDAC7,14067
HDAC8,13315
HDAC9,14065
HES1,5192
HES2,16005
HES3,26226
HES4,24149
HES5,19764
HES6,18254
HES7,15977
HIF1A,4910
HIF3A,15825
